Date,Stock,close_price
2020-06-29,HYPE3.SA,33.610000610351555
2020-06-29,VVAR3.SA,15.380000114440918
2020-06-29,FLRY3.SA,24.61000061035156
2020-06-29,CPFE3.SA,30.309999465942386
2020-06-29,MGLU3.SA,70.41000366210938
2020-06-29,BBAS3.SA,33.439998626708984
2020-06-29,CSNA3.SA,10.550000190734863
2020-06-29,SULA11.SA,45.95000076293945
2020-06-29,BEEF3.SA,12.960000038146973
2020-06-29,GGBR4.SA,15.6899995803833
2020-06-29,HGTX3.SA,14.25
2020-06-29,VIVT4.SA,48.20000076293945
2020-06-29,PETR4.SA,21.65999984741211
2020-06-29,ENGI11.SA,48.72999954223633
2020-06-29,BRFS3.SA,20.8700008392334
2020-06-29,ITSA4.SA,9.890000343322754
2020-06-29,EGIE3.SA,42.709999084472656
2020-06-29,NTCO3.SA,40.02000045776367
2020-06-29,RENT3.SA,41.209999084472656
2020-06-29,PETR3.SA,22.559999465942386
2020-06-29,IGTA3.SA,33.81999969482422
2020-06-29,MRFG3.SA,12.5600004196167
2020-06-29,YDUQ3.SA,34.22999954223633
2020-06-29,SBSP3.SA,57.20000076293945
2020-06-29,BBSE3.SA,28.25
2020-06-29,UGPA3.SA,18.0
2020-06-29,ITUB4.SA,26.479999542236328
2020-06-29,BRKM5.SA,23.1299991607666
2020-06-29,USIM5.SA,7.1500000953674325
2020-06-29,QUAL3.SA,28.290000915527344
2020-06-29,EQTL3.SA,22.84000015258789
2020-06-29,WEGE3.SA,49.91999816894531
2020-06-29,CCRO3.SA,14.699999809265135
2020-06-29,HAPV3.SA,63.099998474121094
2020-06-29,ECOR3.SA,12.960000038146973
2020-06-30,WEGE3.SA,50.61000061035156
2020-06-30,TAEE11.SA,28.46999931335449
2020-06-30,BPAC11.SA,77.19999694824219
2020-06-30,CVCB3.SA,18.13999938964844
2020-06-30,VVAR3.SA,15.3100004196167
2020-06-30,CSAN3.SA,70.91999816894531
2020-06-30,VALE3.SA,55.91999816894531
2020-06-30,B3SA3.SA,55.09000015258789
2020-06-30,AZUL4.SA,20.11000061035156
2020-06-30,EGIE3.SA,42.09000015258789
2020-06-30,BRDT3.SA,21.549999237060547
2020-06-30,CCRO3.SA,14.5
2020-06-30,CYRE3.SA,22.85000038146973
2020-06-30,UGPA3.SA,18.3799991607666
2020-06-30,CRFB3.SA,19.75
2020-06-30,EQTL3.SA,23.21999931335449
2020-06-30,CSNA3.SA,10.68000030517578
2020-06-30,ENGI11.SA,49.709999084472656
2020-06-30,GGBR4.SA,16.010000228881836
2020-06-30,IRBR3.SA,11.0
2020-06-30,MULT3.SA,20.5
2020-06-30,BRAP4.SA,36.5099983215332
2020-06-30,BBSE3.SA,27.270000457763672
2020-06-30,NTCO3.SA,39.900001525878906
2020-06-30,GNDI3.SA,68.01000213623047
2020-06-30,BTOW3.SA,107.0500030517578
2020-06-30,RADL3.SA,22.124000549316406
2020-06-30,HAPV3.SA,62.16999816894531
2020-06-30,PRIO3.SA,35.38999938964844
2020-06-30,BRKM5.SA,23.21999931335449
2020-06-30,LAME4.SA,32.18000030517578
2020-06-30,CIEL3.SA,4.619999885559082
2020-06-30,BBDC3.SA,18.959999084472656
2020-06-30,PETR4.SA,21.549999237060547
2020-06-30,TIMP3.SA,14.199999809265135
2020-06-30,GOLL4.SA,18.549999237060547
2020-06-30,VIVT4.SA,48.02999877929688
2020-06-30,CMIG4.SA,10.584600448608398
2020-06-30,BBAS3.SA,32.150001525878906
2020-06-30,EMBR3.SA,8.090000152587889
2020-06-30,KLBN11.SA,20.68000030517578
2020-06-30,ELET6.SA,32.240001678466804
2020-06-30,USIM5.SA,7.269999980926514
2020-06-30,SULA11.SA,45.06999969482422
2020-06-30,ECOR3.SA,12.970000267028807
2020-06-30,SANB11.SA,28.020000457763672
2020-06-30,ITUB4.SA,25.45000076293945
2020-06-30,EZTC3.SA,39.900001525878906
2020-06-30,HYPE3.SA,33.299999237060554
2020-06-30,MRFG3.SA,12.609999656677244
2020-06-30,RAIL3.SA,22.489999771118164
2020-06-30,RENT3.SA,40.90999984741211
2020-06-30,BBDC4.SA,20.700000762939453
2020-06-30,ENBR3.SA,17.420000076293945
2020-06-30,ELET3.SA,31.0
2020-06-30,QUAL3.SA,29.0
2020-06-30,PCAR3.SA,70.9800033569336
2020-06-30,TOTS3.SA,23.149999618530273
2020-06-30,SBSP3.SA,57.70000076293945
2020-06-30,GOAU4.SA,7.309999942779541
2020-06-30,SUZB3.SA,36.790000915527344
2020-06-30,COGN3.SA,6.610000133514403
2020-06-30,BRML3.SA,10.079999923706056
2020-06-30,FLRY3.SA,24.59000015258789
2020-06-30,BRFS3.SA,21.26000022888184
2020-06-30,JBSS3.SA,21.149999618530273
2020-06-30,ABEV3.SA,14.140000343322756
2020-06-30,MGLU3.SA,71.6500015258789
2020-06-30,BEEF3.SA,13.149999618530273
2020-06-30,LREN3.SA,41.79999923706055
2020-06-30,YDUQ3.SA,33.650001525878906
2020-06-30,CPFE3.SA,30.65999984741211
2020-06-30,ITSA4.SA,9.59000015258789
2020-06-30,PETR3.SA,22.34000015258789
2020-06-30,MRVE3.SA,18.0
2020-06-30,IGTA3.SA,33.34999847412109
2020-06-30,HGTX3.SA,14.31999969482422
2020-07-01,VIVT4.SA,48.08000183105469
2020-07-01,ENBR3.SA,17.899999618530273
2020-07-01,ITSA4.SA,9.789999961853027
2020-07-01,BBAS3.SA,33.06999969482422
2020-07-01,QUAL3.SA,29.20000076293945
2020-07-01,BRFS3.SA,20.5
